input,target
rotation 791-793-431 ,rotation: [ 791-793-431 ] 
rotation 80-1-470 ,rotation: [ 80-1-470 ] 
rotation 247-91-7 ,rotation: [ 247-91-7 ] 
rotation 6-71-54 ,rotation: [ 6-71-54 ] 
rotation 56-9-2 to 988-109-8 ,rotation: [ 56-9-2 ] -- [988-109-8 ] 
rotation 8-37-99 to 6-8-22 ,rotation: [ 8-37-99 ] -- [6-8-22 ] 
rotation 5-3-109 ,rotation: [ 5-3-109 ] 
rotation 586-034-274 to 3-16-6 ,rotation: [ 586-034-274 ] -- [3-16-6 ] 
rotation 24-19-3 ,rotation: [ 24-19-3 ] 
rotation 290-63-7 to 5-6-227 ,rotation: [ 290-63-7 ] -- [5-6-227 ] 
rotation 8-20-52 to 48-37-40 ,rotation: [ 8-20-52 ] -- [48-37-40 ] 
rotation 33-09-657 to 47-42-5 ,rotation: [ 33-09-657 ] -- [47-42-5 ] 
rotation 62-910-2 to 55-55-2 ,rotation: [ 62-910-2 ] -- [55-55-2 ] 
rotation 043-10-4 to 05-9-9 ,rotation: [ 043-10-4 ] -- [05-9-9 ] 
rotation 64-0-67 ,rotation: [ 64-0-67 ] 
rotation 010-4-45 to 4-084-944 ,rotation: [ 010-4-45 ] -- [4-084-944 ] 
rotation 916-02-75 to 01-660-397 ,rotation: [ 916-02-75 ] -- [01-660-397 ] 
rotation 6-6-431 to 89-14-5 ,rotation: [ 6-6-431 ] -- [89-14-5 ] 
rotation 49-70-6 to 726-60-366 ,rotation: [ 49-70-6 ] -- [726-60-366 ] 
rotation 7-74-1 to 895-4-19 ,rotation: [ 7-74-1 ] -- [895-4-19 ] 
rotation 601-02-9 ,rotation: [ 601-02-9 ] 
rotation 75-36-30 ,rotation: [ 75-36-30 ] 
rotation 50-63-3 to 2-6-201 ,rotation: [ 50-63-3 ] -- [2-6-201 ] 
rotation 3-257-4 ,rotation: [ 3-257-4 ] 
rotation 125-7-915 to 50-656-025 ,rotation: [ 125-7-915 ] -- [50-656-025 ] 
rotation 20-62-7 ,rotation: [ 20-62-7 ] 
rotation 45-85-7 to 837-95-0 ,rotation: [ 45-85-7 ] -- [837-95-0 ] 
rotation 571-99-018 to 64-840-953 ,rotation: [ 571-99-018 ] -- [64-840-953 ] 
rotation 6-55-4 ,rotation: [ 6-55-4 ] 
rotation 496-47-369 to 35-239-176 ,rotation: [ 496-47-369 ] -- [35-239-176 ] 
rotation 86-4-948 to 85-7-314 ,rotation: [ 86-4-948 ] -- [85-7-314 ] 
rotation 7-817-6 to 044-7-799 ,rotation: [ 7-817-6 ] -- [044-7-799 ] 
rotation 862-968-6 to 34-00-2 ,rotation: [ 862-968-6 ] -- [34-00-2 ] 
rotation 25-462-550 to 0-4-039 ,rotation: [ 25-462-550 ] -- [0-4-039 ] 
rotation 3-987-24 ,rotation: [ 3-987-24 ] 
rotation 1-6-706 ,rotation: [ 1-6-706 ] 
rotation 8-3-894 ,rotation: [ 8-3-894 ] 
rotation 2-3-48 to 430-106-821 ,rotation: [ 2-3-48 ] -- [430-106-821 ] 
rotation 664-3-925 to 3-0-142 ,rotation: [ 664-3-925 ] -- [3-0-142 ] 
rotation 07-0-28 to 568-695-28 ,rotation: [ 07-0-28 ] -- [568-695-28 ] 
rotation 83-5-6 to 67-015-3 ,rotation: [ 83-5-6 ] -- [67-015-3 ] 
rotation 24-66-84 to 99-802-14 ,rotation: [ 24-66-84 ] -- [99-802-14 ] 
rotation 1-392-53 to 41-0-479 ,rotation: [ 1-392-53 ] -- [41-0-479 ] 
rotation 86-5-78 ,rotation: [ 86-5-78 ] 
rotation 654-7-600 to 39-1-1 ,rotation: [ 654-7-600 ] -- [39-1-1 ] 
rotation 908-73-87 to 788-613-98 ,rotation: [ 908-73-87 ] -- [788-613-98 ] 
rotation 32-7-93 ,rotation: [ 32-7-93 ] 
rotation 474-909-1 to 528-9-979 ,rotation: [ 474-909-1 ] -- [528-9-979 ] 
rotation 15-36-41 to 0-88-45 ,rotation: [ 15-36-41 ] -- [0-88-45 ] 
rotation 20-71-28 to 34-26-31 ,rotation: [ 20-71-28 ] -- [34-26-31 ] 
rotation 479-76-15 ,rotation: [ 479-76-15 ] 
rotation 591-253-8 to 5-7-8 ,rotation: [ 591-253-8 ] -- [5-7-8 ] 
rotation 579-940-4 ,rotation: [ 579-940-4 ] 
rotation 06-9-90 ,rotation: [ 06-9-90 ] 
rotation 417-7-654 ,rotation: [ 417-7-654 ] 
rotation 2-5-792 ,rotation: [ 2-5-792 ] 
rotation 31-1-685 ,rotation: [ 31-1-685 ] 
rotation 387-013-077 ,rotation: [ 387-013-077 ] 
rotation 880-81-767 to 017-1-2 ,rotation: [ 880-81-767 ] -- [017-1-2 ] 
rotation 653-22-14 to 247-9-833 ,rotation: [ 653-22-14 ] -- [247-9-833 ] 
rotation 05-955-7 ,rotation: [ 05-955-7 ] 
rotation 923-65-204 ,rotation: [ 923-65-204 ] 
rotation 7-063-5 to 293-3-812 ,rotation: [ 7-063-5 ] -- [293-3-812 ] 
rotation 9-919-44 ,rotation: [ 9-919-44 ] 
rotation 25-453-88 ,rotation: [ 25-453-88 ] 
rotation 8-370-5 to 59-9-28 ,rotation: [ 8-370-5 ] -- [59-9-28 ] 
rotation 8-36-42 to 02-09-18 ,rotation: [ 8-36-42 ] -- [02-09-18 ] 
rotation 559-10-856 to 141-83-516 ,rotation: [ 559-10-856 ] -- [141-83-516 ] 
rotation 256-72-566 to 6-2-253 ,rotation: [ 256-72-566 ] -- [6-2-253 ] 
rotation 8-5-82 to 2-50-63 ,rotation: [ 8-5-82 ] -- [2-50-63 ] 
rotation 506-149-5 ,rotation: [ 506-149-5 ] 
rotation 07-910-83 ,rotation: [ 07-910-83 ] 
rotation 59-292-45 ,rotation: [ 59-292-45 ] 
rotation 215-81-59 ,rotation: [ 215-81-59 ] 
rotation 50-324-55 to 94-596-241 ,rotation: [ 50-324-55 ] -- [94-596-241 ] 
rotation 8-574-394 ,rotation: [ 8-574-394 ] 
rotation 726-902-9 ,rotation: [ 726-902-9 ] 
rotation 76-22-25 to 7-736-287 ,rotation: [ 76-22-25 ] -- [7-736-287 ] 
rotation 044-78-98 to 7-024-9 ,rotation: [ 044-78-98 ] -- [7-024-9 ] 
rotation 1-00-92 ,rotation: [ 1-00-92 ] 
rotation 87-222-363 to 229-8-7 ,rotation: [ 87-222-363 ] -- [229-8-7 ] 
rotation 6-688-647 to 40-920-16 ,rotation: [ 6-688-647 ] -- [40-920-16 ] 
rotation 591-314-42 ,rotation: [ 591-314-42 ] 
rotation 1-417-1 to 35-66-143 ,rotation: [ 1-417-1 ] -- [35-66-143 ] 
rotation 37-5-935 to 5-758-82 ,rotation: [ 37-5-935 ] -- [5-758-82 ] 
rotation 530-296-1 to 32-71-5 ,rotation: [ 530-296-1 ] -- [32-71-5 ] 
rotation 72-2-4 to 86-87-0 ,rotation: [ 72-2-4 ] -- [86-87-0 ] 
rotation 5-89-34 ,rotation: [ 5-89-34 ] 
rotation 626-321-4 to 60-138-4 ,rotation: [ 626-321-4 ] -- [60-138-4 ] 
rotation 76-785-63 ,rotation: [ 76-785-63 ] 
rotation 432-25-61 to 9-9-2 ,rotation: [ 432-25-61 ] -- [9-9-2 ] 
rotation 499-4-40 ,rotation: [ 499-4-40 ] 
rotation 0-853-14 ,rotation: [ 0-853-14 ] 
rotation 2-19-7 ,rotation: [ 2-19-7 ] 
rotation 83-3-4 to 568-27-9 ,rotation: [ 83-3-4 ] -- [568-27-9 ] 
rotation 0-1-81 ,rotation: [ 0-1-81 ] 
rotation 8-18-68 ,rotation: [ 8-18-68 ] 
rotation 03-52-995 to 050-7-9 ,rotation: [ 03-52-995 ] -- [050-7-9 ] 
rotation 21-679-94 to 9-47-542 ,rotation: [ 21-679-94 ] -- [9-47-542 ] 
rotation 2-473-0 to 391-5-5 ,rotation: [ 2-473-0 ] -- [391-5-5 ] 
rotation 31-6-208 to 0-893-87 ,rotation: [ 31-6-208 ] -- [0-893-87 ] 
rotation 29-9-583 to 4-682-74 ,rotation: [ 29-9-583 ] -- [4-682-74 ] 
rotation 837-74-3 to 02-35-0 ,rotation: [ 837-74-3 ] -- [02-35-0 ] 
rotation 547-5-95 to 636-31-8 ,rotation: [ 547-5-95 ] -- [636-31-8 ] 
rotation 30-545-03 to 9-190-622 ,rotation: [ 30-545-03 ] -- [9-190-622 ] 
rotation 294-5-536 to 6-031-388 ,rotation: [ 294-5-536 ] -- [6-031-388 ] 
rotation 55-567-27 to 40-868-9 ,rotation: [ 55-567-27 ] -- [40-868-9 ] 
rotation 8-094-92 ,rotation: [ 8-094-92 ] 
rotation 05-90-052 to 908-64-6 ,rotation: [ 05-90-052 ] -- [908-64-6 ] 
rotation 2-8-8 to 4-353-64 ,rotation: [ 2-8-8 ] -- [4-353-64 ] 
rotation 688-74-6 ,rotation: [ 688-74-6 ] 
rotation 61-350-23 ,rotation: [ 61-350-23 ] 
rotation 20-167-93 to 557-88-20 ,rotation: [ 20-167-93 ] -- [557-88-20 ] 
rotation 29-7-14 ,rotation: [ 29-7-14 ] 
rotation 5-4-5 ,rotation: [ 5-4-5 ] 
rotation 5-39-34 ,rotation: [ 5-39-34 ] 
rotation 366-822-44 ,rotation: [ 366-822-44 ] 
rotation 927-77-1 to 51-034-3 ,rotation: [ 927-77-1 ] -- [51-034-3 ] 
rotation 16-4-6 ,rotation: [ 16-4-6 ] 
rotation 0-3-874 ,rotation: [ 0-3-874 ] 
rotation 4-4-3 ,rotation: [ 4-4-3 ] 
rotation 2-602-544 ,rotation: [ 2-602-544 ] 
rotation 54-874-097 to 4-938-0 ,rotation: [ 54-874-097 ] -- [4-938-0 ] 
rotation 73-9-370 ,rotation: [ 73-9-370 ] 
rotation 574-094-8 to 700-740-1 ,rotation: [ 574-094-8 ] -- [700-740-1 ] 
rotation 72-046-3 to 25-746-35 ,rotation: [ 72-046-3 ] -- [25-746-35 ] 
rotation 91-07-601 ,rotation: [ 91-07-601 ] 
rotation 45-8-0 to 91-187-758 ,rotation: [ 45-8-0 ] -- [91-187-758 ] 
rotation 2-42-27 ,rotation: [ 2-42-27 ] 
rotation 51-4-5 to 402-17-39 ,rotation: [ 51-4-5 ] -- [402-17-39 ] 
rotation 14-47-461 ,rotation: [ 14-47-461 ] 
rotation 4-46-1 ,rotation: [ 4-46-1 ] 
rotation 44-73-2 to 790-4-52 ,rotation: [ 44-73-2 ] -- [790-4-52 ] 
rotation 8-946-173 to 3-996-0 ,rotation: [ 8-946-173 ] -- [3-996-0 ] 
rotation 394-91-5 to 0-327-10 ,rotation: [ 394-91-5 ] -- [0-327-10 ] 
rotation 54-1-342 ,rotation: [ 54-1-342 ] 
rotation 7-3-6 ,rotation: [ 7-3-6 ] 
rotation 274-430-67 to 85-2-29 ,rotation: [ 274-430-67 ] -- [85-2-29 ] 
rotation 13-43-332 to 364-97-6 ,rotation: [ 13-43-332 ] -- [364-97-6 ] 
rotation 6-1-46 ,rotation: [ 6-1-46 ] 
rotation 72-24-84 to 79-21-012 ,rotation: [ 72-24-84 ] -- [79-21-012 ] 
rotation 04-376-950 to 5-946-90 ,rotation: [ 04-376-950 ] -- [5-946-90 ] 
rotation 305-27-81 to 685-1-8 ,rotation: [ 305-27-81 ] -- [685-1-8 ] 
rotation 4-89-9 to 3-1-62 ,rotation: [ 4-89-9 ] -- [3-1-62 ] 
rotation 61-15-938 ,rotation: [ 61-15-938 ] 
rotation 61-4-05 ,rotation: [ 61-4-05 ] 
rotation 249-10-7 to 005-38-23 ,rotation: [ 249-10-7 ] -- [005-38-23 ] 
rotation 102-17-457 ,rotation: [ 102-17-457 ] 
rotation 3-85-16 to 291-316-47 ,rotation: [ 3-85-16 ] -- [291-316-47 ] 
rotation 00-18-371 to 9-146-6 ,rotation: [ 00-18-371 ] -- [9-146-6 ] 
rotation 109-892-5 to 3-8-3 ,rotation: [ 109-892-5 ] -- [3-8-3 ] 
rotation 580-407-86 to 80-2-9 ,rotation: [ 580-407-86 ] -- [80-2-9 ] 
rotation 7-7-9 to 408-2-8 ,rotation: [ 7-7-9 ] -- [408-2-8 ] 
rotation 6-293-9 ,rotation: [ 6-293-9 ] 
rotation 59-685-91 ,rotation: [ 59-685-91 ] 
rotation 035-84-8 ,rotation: [ 035-84-8 ] 
rotation 169-56-518 ,rotation: [ 169-56-518 ] 
rotation 410-76-6 to 6-86-4 ,rotation: [ 410-76-6 ] -- [6-86-4 ] 
rotation 300-792-465 ,rotation: [ 300-792-465 ] 
rotation 46-40-78 ,rotation: [ 46-40-78 ] 
rotation 2-712-312 to 5-5-3 ,rotation: [ 2-712-312 ] -- [5-5-3 ] 
rotation 640-37-700 to 7-1-559 ,rotation: [ 640-37-700 ] -- [7-1-559 ] 
rotation 7-967-983 to 629-328-594 ,rotation: [ 7-967-983 ] -- [629-328-594 ] 
rotation 9-79-4 ,rotation: [ 9-79-4 ] 
rotation 5-30-982 ,rotation: [ 5-30-982 ] 
rotation 7-04-4 ,rotation: [ 7-04-4 ] 
rotation 046-696-6 to 73-973-74 ,rotation: [ 046-696-6 ] -- [73-973-74 ] 
rotation 8-3-9 to 89-261-3 ,rotation: [ 8-3-9 ] -- [89-261-3 ] 
rotation 213-91-915 ,rotation: [ 213-91-915 ] 
rotation 48-6-86 to 5-6-82 ,rotation: [ 48-6-86 ] -- [5-6-82 ] 
rotation 91-65-01 to 11-40-020 ,rotation: [ 91-65-01 ] -- [11-40-020 ] 
rotation 641-221-656 to 02-1-958 ,rotation: [ 641-221-656 ] -- [02-1-958 ] 
rotation 28-7-47 to 0-325-2 ,rotation: [ 28-7-47 ] -- [0-325-2 ] 
rotation 169-35-281 to 5-24-0 ,rotation: [ 169-35-281 ] -- [5-24-0 ] 
rotation 681-88-960 to 97-16-445 ,rotation: [ 681-88-960 ] -- [97-16-445 ] 
rotation 08-077-74 ,rotation: [ 08-077-74 ] 
rotation 17-5-80 to 476-299-63 ,rotation: [ 17-5-80 ] -- [476-299-63 ] 
rotation 26-012-4 to 228-419-777 ,rotation: [ 26-012-4 ] -- [228-419-777 ] 
rotation 502-58-78 to 4-8-533 ,rotation: [ 502-58-78 ] -- [4-8-533 ] 
rotation 17-7-94 to 38-3-15 ,rotation: [ 17-7-94 ] -- [38-3-15 ] 
rotation 117-4-8 to 7-18-927 ,rotation: [ 117-4-8 ] -- [7-18-927 ] 
rotation 0-96-84 to 408-37-96 ,rotation: [ 0-96-84 ] -- [408-37-96 ] 
rotation 095-79-61 to 41-23-61 ,rotation: [ 095-79-61 ] -- [41-23-61 ] 
rotation 0-3-22 to 7-23-3 ,rotation: [ 0-3-22 ] -- [7-23-3 ] 
rotation 44-75-059 ,rotation: [ 44-75-059 ] 
rotation 85-656-0 to 16-7-003 ,rotation: [ 85-656-0 ] -- [16-7-003 ] 
rotation 0-98-134 to 29-82-70 ,rotation: [ 0-98-134 ] -- [29-82-70 ] 
rotation 45-44-84 to 096-2-27 ,rotation: [ 45-44-84 ] -- [096-2-27 ] 
rotation 626-2-1 to 39-4-99 ,rotation: [ 626-2-1 ] -- [39-4-99 ] 
rotation 0-54-013 ,rotation: [ 0-54-013 ] 
rotation 63-60-98 ,rotation: [ 63-60-98 ] 
rotation 07-293-953 to 3-5-02 ,rotation: [ 07-293-953 ] -- [3-5-02 ] 
rotation 4-7-8 to 3-507-5 ,rotation: [ 4-7-8 ] -- [3-507-5 ] 
rotation 286-233-339 to 35-777-699 ,rotation: [ 286-233-339 ] -- [35-777-699 ] 
rotation 027-4-5 ,rotation: [ 027-4-5 ] 
rotation 00-97-6 to 27-6-0 ,rotation: [ 00-97-6 ] -- [27-6-0 ] 
rotation 28-655-4 to 78-208-4 ,rotation: [ 28-655-4 ] -- [78-208-4 ] 
rotation 548-998-82 to 1-150-3 ,rotation: [ 548-998-82 ] -- [1-150-3 ] 
rotation 60-83-563 to 917-733-12 ,rotation: [ 60-83-563 ] -- [917-733-12 ] 
rotation 916-672-17 to 9-257-55 ,rotation: [ 916-672-17 ] -- [9-257-55 ] 
rotation 42-9-9 ,rotation: [ 42-9-9 ] 
rotation 8-26-917 to 90-3-17 ,rotation: [ 8-26-917 ] -- [90-3-17 ] 
rotation 834-595-6 ,rotation: [ 834-595-6 ] 
rotation 4-07-139 to 89-7-533 ,rotation: [ 4-07-139 ] -- [89-7-533 ] 
rotation 0-73-72 ,rotation: [ 0-73-72 ] 
rotation 11-163-7 to 318-893-2 ,rotation: [ 11-163-7 ] -- [318-893-2 ] 
rotation 339-86-29 to 43-05-538 ,rotation: [ 339-86-29 ] -- [43-05-538 ] 
rotation 297-436-7 ,rotation: [ 297-436-7 ] 
rotation 05-692-507 ,rotation: [ 05-692-507 ] 
rotation 379-175-6 ,rotation: [ 379-175-6 ] 
rotation 021-1-4 ,rotation: [ 021-1-4 ] 
rotation 1-29-2 to 89-539-5 ,rotation: [ 1-29-2 ] -- [89-539-5 ] 
rotation 1-85-88 to 548-3-909 ,rotation: [ 1-85-88 ] -- [548-3-909 ] 
rotation 0-6-447 to 298-6-277 ,rotation: [ 0-6-447 ] -- [298-6-277 ] 
rotation 127-5-898 to 2-24-53 ,rotation: [ 127-5-898 ] -- [2-24-53 ] 
rotation 117-183-76 to 6-594-5 ,rotation: [ 117-183-76 ] -- [6-594-5 ] 
rotation 6-9-844 to 15-1-93 ,rotation: [ 6-9-844 ] -- [15-1-93 ] 
rotation 02-6-363 to 25-02-26 ,rotation: [ 02-6-363 ] -- [25-02-26 ] 
rotation 97-51-4 ,rotation: [ 97-51-4 ] 
rotation 04-2-21 to 6-9-17 ,rotation: [ 04-2-21 ] -- [6-9-17 ] 
rotation 26-382-37 to 8-2-14 ,rotation: [ 26-382-37 ] -- [8-2-14 ] 
rotation 8-59-6 ,rotation: [ 8-59-6 ] 
rotation 90-448-9 to 79-1-03 ,rotation: [ 90-448-9 ] -- [79-1-03 ] 
rotation 66-7-67 ,rotation: [ 66-7-67 ] 
rotation 22-024-975 ,rotation: [ 22-024-975 ] 
rotation 8-702-729 ,rotation: [ 8-702-729 ] 
rotation 73-125-386 to 743-4-434 ,rotation: [ 73-125-386 ] -- [743-4-434 ] 
rotation 963-9-20 ,rotation: [ 963-9-20 ] 
rotation 488-40-483 to 6-9-9 ,rotation: [ 488-40-483 ] -- [6-9-9 ] 
rotation 2-773-5 ,rotation: [ 2-773-5 ] 
rotation 0-273-46 ,rotation: [ 0-273-46 ] 
rotation 72-92-957 ,rotation: [ 72-92-957 ] 
rotation 25-15-4 ,rotation: [ 25-15-4 ] 
rotation 1-104-146 ,rotation: [ 1-104-146 ] 
rotation 1-806-689 ,rotation: [ 1-806-689 ] 
rotation 41-066-91 ,rotation: [ 41-066-91 ] 
rotation 88-670-030 ,rotation: [ 88-670-030 ] 
rotation 1-089-8 to 9-51-3 ,rotation: [ 1-089-8 ] -- [9-51-3 ] 
rotation 0-3-8 to 823-8-973 ,rotation: [ 0-3-8 ] -- [823-8-973 ] 
rotation 3-82-33 ,rotation: [ 3-82-33 ] 
rotation 52-207-405 ,rotation: [ 52-207-405 ] 
rotation 244-1-6 to 429-9-270 ,rotation: [ 244-1-6 ] -- [429-9-270 ] 
rotation 9-8-576 to 7-32-9 ,rotation: [ 9-8-576 ] -- [7-32-9 ] 
rotation 6-152-192 to 4-5-4 ,rotation: [ 6-152-192 ] -- [4-5-4 ] 
rotation 7-601-2 to 556-63-20 ,rotation: [ 7-601-2 ] -- [556-63-20 ] 
rotation 115-47-77 to 266-1-622 ,rotation: [ 115-47-77 ] -- [266-1-622 ] 
rotation 92-438-6 ,rotation: [ 92-438-6 ] 
rotation 66-295-045 ,rotation: [ 66-295-045 ] 
rotation 184-239-4 to 8-37-97 ,rotation: [ 184-239-4 ] -- [8-37-97 ] 
rotation 49-311-98 ,rotation: [ 49-311-98 ] 
rotation 102-754-36 ,rotation: [ 102-754-36 ] 
rotation 736-298-48 to 3-36-77 ,rotation: [ 736-298-48 ] -- [3-36-77 ] 
rotation 1-103-76 to 819-41-79 ,rotation: [ 1-103-76 ] -- [819-41-79 ] 
rotation 7-80-61 to 85-1-5 ,rotation: [ 7-80-61 ] -- [85-1-5 ] 
rotation 558-50-8 to 676-5-44 ,rotation: [ 558-50-8 ] -- [676-5-44 ] 
rotation 63-1-3 ,rotation: [ 63-1-3 ] 
rotation 573-11-13 ,rotation: [ 573-11-13 ] 
rotation 9-90-8 ,rotation: [ 9-90-8 ] 
rotation 4-0-6 ,rotation: [ 4-0-6 ] 
rotation 76-420-86 to 629-3-4 ,rotation: [ 76-420-86 ] -- [629-3-4 ] 
rotation 6-672-26 ,rotation: [ 6-672-26 ] 
rotation 002-872-77 ,rotation: [ 002-872-77 ] 
rotation 4-509-09 ,rotation: [ 4-509-09 ] 
rotation 76-91-61 to 83-76-859 ,rotation: [ 76-91-61 ] -- [83-76-859 ] 
rotation 367-476-3 to 7-86-6 ,rotation: [ 367-476-3 ] -- [7-86-6 ] 
rotation 22-9-373 to 3-164-9 ,rotation: [ 22-9-373 ] -- [3-164-9 ] 
rotation 08-905-0 to 80-08-0 ,rotation: [ 08-905-0 ] -- [80-08-0 ] 
rotation 923-260-000 to 216-795-64 ,rotation: [ 923-260-000 ] -- [216-795-64 ] 
rotation 597-143-10 to 34-41-25 ,rotation: [ 597-143-10 ] -- [34-41-25 ] 
rotation 693-594-86 to 610-723-804 ,rotation: [ 693-594-86 ] -- [610-723-804 ] 
rotation 90-932-4 to 009-93-1 ,rotation: [ 90-932-4 ] -- [009-93-1 ] 
rotation 85-92-1 ,rotation: [ 85-92-1 ] 
rotation 258-85-722 to 9-941-960 ,rotation: [ 258-85-722 ] -- [9-941-960 ] 
rotation 370-8-583 ,rotation: [ 370-8-583 ] 
rotation 6-8-05 to 13-349-55 ,rotation: [ 6-8-05 ] -- [13-349-55 ] 
rotation 9-6-692 ,rotation: [ 9-6-692 ] 
rotation 05-606-763 ,rotation: [ 05-606-763 ] 
rotation 822-912-986 to 8-2-6 ,rotation: [ 822-912-986 ] -- [8-2-6 ] 
rotation 388-944-5 to 43-69-8 ,rotation: [ 388-944-5 ] -- [43-69-8 ] 
rotation 6-330-09 ,rotation: [ 6-330-09 ] 
rotation 0-668-36 to 937-813-841 ,rotation: [ 0-668-36 ] -- [937-813-841 ] 
rotation 0-259-16 ,rotation: [ 0-259-16 ] 
rotation 9-376-0 to 494-96-98 ,rotation: [ 9-376-0 ] -- [494-96-98 ] 
rotation 25-8-8 ,rotation: [ 25-8-8 ] 
rotation 61-15-887 to 64-1-95 ,rotation: [ 61-15-887 ] -- [64-1-95 ] 
rotation 029-922-557 ,rotation: [ 029-922-557 ] 
rotation 0-8-231 ,rotation: [ 0-8-231 ] 
rotation 4-3-36 to 9-05-38 ,rotation: [ 4-3-36 ] -- [9-05-38 ] 
rotation 860-27-4 ,rotation: [ 860-27-4 ] 
rotation 1-7-48 ,rotation: [ 1-7-48 ] 
rotation 57-14-574 ,rotation: [ 57-14-574 ] 
rotation 85-855-496 to 8-5-3 ,rotation: [ 85-855-496 ] -- [8-5-3 ] 
rotation 97-5-60 to 46-47-27 ,rotation: [ 97-5-60 ] -- [46-47-27 ] 
rotation 768-7-817 to 68-01-077 ,rotation: [ 768-7-817 ] -- [68-01-077 ] 
rotation 642-53-314 to 50-64-3 ,rotation: [ 642-53-314 ] -- [50-64-3 ] 
rotation 25-58-443 ,rotation: [ 25-58-443 ] 
rotation 072-326-47 to 0-46-53 ,rotation: [ 072-326-47 ] -- [0-46-53 ] 
rotation 23-843-38 ,rotation: [ 23-843-38 ] 
rotation 4-682-435 ,rotation: [ 4-682-435 ] 
rotation 3-000-1 ,rotation: [ 3-000-1 ] 
rotation 151-024-139 to 0-407-4 ,rotation: [ 151-024-139 ] -- [0-407-4 ] 
rotation 686-1-649 ,rotation: [ 686-1-649 ] 
rotation 551-000-4 ,rotation: [ 551-000-4 ] 
rotation 27-3-3 to 61-745-11 ,rotation: [ 27-3-3 ] -- [61-745-11 ] 
rotation 9-348-43 ,rotation: [ 9-348-43 ] 
rotation 7-48-4 ,rotation: [ 7-48-4 ] 
rotation 804-27-317 to 57-8-768 ,rotation: [ 804-27-317 ] -- [57-8-768 ] 
rotation 444-60-596 ,rotation: [ 444-60-596 ] 
rotation 1-31-3 ,rotation: [ 1-31-3 ] 
rotation 9-68-8 to 923-477-2 ,rotation: [ 9-68-8 ] -- [923-477-2 ] 
rotation 0-14-26 ,rotation: [ 0-14-26 ] 
rotation 40-2-25 ,rotation: [ 40-2-25 ] 
rotation 87-5-192 ,rotation: [ 87-5-192 ] 
rotation 25-5-442 to 01-3-9 ,rotation: [ 25-5-442 ] -- [01-3-9 ] 
rotation 21-627-3 ,rotation: [ 21-627-3 ] 
rotation 2-737-745 to 085-502-7 ,rotation: [ 2-737-745 ] -- [085-502-7 ] 
rotation 593-03-398 to 93-551-823 ,rotation: [ 593-03-398 ] -- [93-551-823 ] 
rotation 3-64-811 ,rotation: [ 3-64-811 ] 
rotation 2-26-7 ,rotation: [ 2-26-7 ] 
rotation 4-02-14 ,rotation: [ 4-02-14 ] 
rotation 4-13-424 ,rotation: [ 4-13-424 ] 
rotation 0-047-89 to 44-203-9 ,rotation: [ 0-047-89 ] -- [44-203-9 ] 
rotation 9-87-1 ,rotation: [ 9-87-1 ] 
rotation 799-8-20 to 948-46-22 ,rotation: [ 799-8-20 ] -- [948-46-22 ] 
rotation 583-6-189 ,rotation: [ 583-6-189 ] 
rotation 24-17-4 to 8-445-1 ,rotation: [ 24-17-4 ] -- [8-445-1 ] 
rotation 2-846-5 ,rotation: [ 2-846-5 ] 
rotation 0-98-15 ,rotation: [ 0-98-15 ] 
rotation 38-174-19 ,rotation: [ 38-174-19 ] 
rotation 087-409-732 to 618-35-422 ,rotation: [ 087-409-732 ] -- [618-35-422 ] 
rotation 35-59-851 ,rotation: [ 35-59-851 ] 
rotation 0-009-66 ,rotation: [ 0-009-66 ] 
rotation 16-785-5 ,rotation: [ 16-785-5 ] 
rotation 92-8-091 ,rotation: [ 92-8-091 ] 
rotation 31-512-853 to 901-617-0 ,rotation: [ 31-512-853 ] -- [901-617-0 ] 
rotation 071-4-1 to 878-02-8 ,rotation: [ 071-4-1 ] -- [878-02-8 ] 
rotation 41-67-462 ,rotation: [ 41-67-462 ] 
rotation 367-004-592 ,rotation: [ 367-004-592 ] 
rotation 56-3-77 ,rotation: [ 56-3-77 ] 
rotation 75-697-929 ,rotation: [ 75-697-929 ] 
rotation 8-95-752 ,rotation: [ 8-95-752 ] 
rotation 666-324-6 to 01-210-2 ,rotation: [ 666-324-6 ] -- [01-210-2 ] 
rotation 8-210-561 ,rotation: [ 8-210-561 ] 
rotation 170-3-350 ,rotation: [ 170-3-350 ] 
rotation 9-8-07 to 76-0-628 ,rotation: [ 9-8-07 ] -- [76-0-628 ] 
rotation 249-7-1 to 772-665-414 ,rotation: [ 249-7-1 ] -- [772-665-414 ] 
rotation 59-73-7 ,rotation: [ 59-73-7 ] 
rotation 995-79-680 ,rotation: [ 995-79-680 ] 
rotation 276-888-8 ,rotation: [ 276-888-8 ] 
rotation 1-906-233 ,rotation: [ 1-906-233 ] 
rotation 93-4-87 ,rotation: [ 93-4-87 ] 
rotation 5-95-53 ,rotation: [ 5-95-53 ] 
rotation 093-421-742 to 61-965-6 ,rotation: [ 093-421-742 ] -- [61-965-6 ] 
rotation 77-91-604 to 038-406-025 ,rotation: [ 77-91-604 ] -- [038-406-025 ] 
rotation 2-64-2 to 6-83-6 ,rotation: [ 2-64-2 ] -- [6-83-6 ] 
rotation 6-09-81 to 52-1-98 ,rotation: [ 6-09-81 ] -- [52-1-98 ] 
rotation 56-1-21 to 185-42-6 ,rotation: [ 56-1-21 ] -- [185-42-6 ] 
